ID,LAT,LONG,COORDS
141,-4.054594774,39.66774566,"-4.054594774,39.66774566"
142,-4.047283002,39.66237626,"-4.047283002,39.66237626"
143,-4.048982751,39.68505627,"-4.048982751,39.68505627"
144,-4.037571075,39.66834653,"-4.037571075,39.66834653"
145,-4.04742711,39.69591957,"-4.04742711,39.69591957"
146,-4.049852419,39.67536032,"-4.049852419,39.67536032"
147,-4.041955696,39.67469487,"-4.041955696,39.67469487"
148,-4.064892979,39.6811266,"-4.064892979,39.6811266"
149,-4.021912406,39.72638402,"-4.021912406,39.72638402"
150,-1.265840199,36.88599376,"-1.265840199,36.88599376"
151,-1.48998056,36.95509351,"-1.265840199,36.88599377"
152,-1.294912913,36.8081385,"-1.265840199,36.88599378"
153,-1.266357325,36.80461995,"-1.265840199,36.88599379"
154,-1.278813256,36.85266278,"-1.265840199,36.88599380"
155,-1.266472735,36.80420773,"-1.265840199,36.88599381"
156,-1.308895688,36.85735625,"-1.265840199,36.88599382"
157,-1.294618632,36.79860324,"-1.265840199,36.88599383"
158,-1.294782707,36.8053989,"-1.265840199,36.88599384"
159,-1.282326625,36.85115141,"-1.265840199,36.88599385"
160,-1.283341294,36.82297543,"-1.265840199,36.88599386"
161,-1.281912704,36.85135192,"-1.265840199,36.88599387"
162,-1.26304178,36.8048911,"-1.265840199,36.88599388"
163,-1.287573667,36.82550659,"-1.265840199,36.88599389"
164,-1.328077917,36.88318692,"-1.265840199,36.88599390"
165,-1.318786833,36.83745977,"-1.265840199,36.88599391"
166,-1.396860357,36.7551654,"-1.265840199,36.88599392"
167,-1.288766734,36.79402348,"-1.265840199,36.88599393"
168,-1.274603724,37.00488919,"-1.265840199,36.88599394"
169,-1.204809221,36.77790053,"-1.265840199,36.88599395"
170,-1.158527039,36.95755028,"-1.265840199,36.88599396"
171,-1.315903411,36.82847341,"-1.265840199,36.88599397"
172,-1.265547626,36.81388601,"-1.265840199,36.88599398"
173,-1.199707415,36.91714968,"-1.265840199,36.88599399"
174,-1.288529651,36.78689481,"-1.265840199,36.88599400"
175,-1.292754151,36.78813474,"-1.265840199,36.88599401"
176,-1.259898461,36.77649733,"-1.265840199,36.88599402"
177,-1.316478127,36.83462914,"-1.265840199,36.88599403"
178,-1.343769292,36.7657087,"-1.265840199,36.88599404"
179,-1.232215281,36.879091,"-1.265840199,36.88599405"
180,-1.28560587,36.8245831,"-1.265840199,36.88599406"
181,-1.327853149,36.88155188,"-1.265840199,36.88599407"
182,-1.298514489,36.76191354,"-1.265840199,36.88599408"
183,-1.397728391,36.75975023,"-1.265840199,36.88599409"
184,-1.269079387,36.78952559,"-1.265840199,36.88599410"
185,-1.26101353,36.80223089,"-1.265840199,36.88599411"
186,-1.320455181,36.70427272,"-1.265840199,36.88599412"
187,-1.312042567,36.81694915,"-1.265840199,36.88599413"
188,-1.210779302,36.79327255,"-1.265840199,36.88599414"
189,-1.21135187,36.79475773,"-1.265840199,36.88599415"
190,-1.230522136,36.80437879,"-1.265840199,36.88599416"
191,-1.256768311,36.80316338,"-1.265840199,36.88599417"
192,-1.264091362,36.80207872,"-1.265840199,36.88599418"
193,-1.280015986,36.77032014,"-1.265840199,36.88599419"
194,-1.521961663,37.26902634,"-1.265840199,36.88599420"
195,-1.521752141,37.26888157,"-1.265840199,36.88599421"
196,-1.520343908,37.26945375,"-1.265840199,36.88599422"
197,-1.520073523,37.26919375,"-1.265840199,36.88599423"
198,-1.522085874,37.26899205,"-1.265840199,36.88599424"
199,-1.521060975,37.26806874,"-1.265840199,36.88599425"
200,-1.303593121,37.34725218,"-1.265840199,36.88599426"
